what,kind,bundleId,bundleVersion,description,time
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1389594953200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389594964000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389594979639
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595138519
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595139143
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595139675
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595141040
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1389595144352
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1389595145160
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595145831
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595147716
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595177286
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595195557
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595199791
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595200510
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595206827
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595228645
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595239250
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595242399
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595244651
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595246052
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595251654
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595251655
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595251656
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595252351
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595315189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1389595336984
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595337374
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595337375
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595337376
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389595340755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389595364184
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1389595368898
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1389595371474
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1389595379257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595391489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595407311
opened,editor,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1389595408223
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1389595408397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1389595417572
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595417977
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595417978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595445665
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595518673
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389595522735
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595523104
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595523105
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389595534014
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1389595545692
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595551957
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595551958
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595551958
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595556165
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595562330
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595562331
error,log,,,"org.jboss.tools.vpe.editor.template.VpeHtmlTemplate cannot be cast to org.jboss.tools.vpe.editor.template.VpeTemplateSafeWrapper",1389595564195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595566129
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595573450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389595588546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1389595590672
started,bundle,org.jboss.tools.struts.ui,3.3.0.v20111218-2137-H464-Beta1,"org.jboss.tools.struts.ui",1389595591668
started,bundle,org.jboss.tools.common.gef,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.gef",1389595591702
started,bundle,org.jboss.tools.struts.validator.ui,3.3.0.v20111218-2137-H464-Beta1,"org.jboss.tools.struts.validator.ui",1389595591758
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1389595592412
opened,editor,org.jboss.tools.common.model.ui,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1389595592472
activated,editor,org.jboss.tools.common.model.ui,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1389595592856
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1389595603167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595627091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595677673
activated,editor,org.jboss.tools.common.model.ui,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1389595680051
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1389595683887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595685331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595688003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595692252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595700661
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1389595704353
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1389595707460
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1389595720083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595720972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595751401
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1389595753761
closed,editor,org.jboss.tools.common.model.ui,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1389595755854
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595762076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595765830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595767964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595804311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595825586
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595852394
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595853108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595855432
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389595855869
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1389595856571
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1389595856571
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1389595856571
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1389595856571
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1389595856571
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1389595856571
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1389595856571
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1389595856571
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1389595856571
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1389595856571
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1389595856571
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1389595856571
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1389595856571
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1389595856571
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1389595856571
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1389595856571
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1389595856571
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1389595856571
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1389595856571
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1389595856571
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxws.core",1389595856571
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1389595856571
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1389595856571
stopped,bundle,org.eclipse.mylyn.commons.xmlrpc,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.xmlrpc",1389595856571
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.2.v201105111200,"org.eclipse.datatools.enablement.oda.ws.ui",1389595856571
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.2.v201106161731,"org.eclipse.datatools.enablement.oda.ws",1389595856571
stopped,bundle,org.eclipse.wst.wsdl,1.2.202.v201108230355,"org.eclipse.wst.wsdl",1389595856571
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1389595856587
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1389595856587
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1389595856587
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1389595856587
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.100.v201105030025,"org.eclipse.wst.xml.xpath.ui",1389595856587
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1389595856587
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.launching",1389595856587
stopped,bundle,org.eclipse.wst.xsl.launching,1.0.200.v201103081922,"org.eclipse.wst.xsl.launching",1389595856587
stopped,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1389595856587
stopped,bundle,org.jboss.tools.struts.vpe.struts,3.3.0.v20111218-2137-H464-Beta1,"org.jboss.tools.struts.vpe.struts",1389595856587
stopped,bundle,org.jboss.tools.vpe,3.3.0.v20111218-2116-H645-Beta1,"org.jboss.tools.vpe",1389595856587
stopped,bundle,org.eclipse.wst.xml.xpath.core,1.2.1.v201109010357,"org.eclipse.wst.xml.xpath.core",1389595856587
stopped,bundle,org.eclipse.datatools.enablement.oda.xml.ui,1.2.1.v201104211630,"org.eclipse.datatools.enablement.oda.xml.ui",1389595856587
stopped,bundle,org.eclipse.datatools.enablement.oda.xml,1.2.1.v201104121500,"org.eclipse.datatools.enablement.oda.xml",1389595856587
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1389595856587
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1389595856587
stopped,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1389595856587
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.2.2.v201103292152,"org.eclipse.jst.jsf.facesconfig.ui",1389595856587
stopped,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1389595856587
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.2.100.v201104061711,"org.eclipse.jst.pagedesigner.jsf.ui",1389595856587
stopped,bundle,org.eclipse.jst.pagedesigner,1.3.103.v201109010833,"org.eclipse.jst.pagedesigner",1389595856587
stopped,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1389595856587
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.2.100.v201104061711,"org.eclipse.jst.jsf.common.ui",1389595856587
stopped,bundle,org.eclipse.jst.jsf.standard.tagsupport,1.2.100.v201104061711,"org.eclipse.jst.jsf.standard.tagsupport",1389595856587
stopped,bundle,org.eclipse.jst.pagedesigner.jsp.core,1.2.0.v20100308,"org.eclipse.jst.pagedesigner.jsp.core",1389595856587
stopped,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1389595856587
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1389595856587
