what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.jboss.tools.jst.web.kb,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.web.kb",1389595856587
stopped,bundle,org.jboss.tools.common.el.ui,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.el.ui",1389595856587
stopped,bundle,org.jboss.tools.vpe.resref,3.3.0.v20111218-2116-H645-Beta1,"org.jboss.tools.vpe.resref",1389595856587
stopped,bundle,org.jboss.tools.common.resref.ui,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.resref.ui",1389595856587
stopped,bundle,org.jboss.tools.hibernate.xml.ui,3.4.0.v20111218-2108-H606-Beta1,"org.jboss.tools.hibernate.xml.ui",1389595856587
stopped,bundle,org.jboss.tools.common.model.ui,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.model.ui",1389595856587
stopped,bundle,org.jboss.tools.common.text.ext,3.3.0.v20111218-2033-H606-Beta1,"org.jboss.tools.common.text.ext",1389595856587
stopped,bundle,org.jboss.tools.jst.web.tiles,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.web.tiles",1389595856587
stopped,bundle,org.jboss.tools.jst.web.verification,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.web.verification",1389595856587
stopped,bundle,org.jboss.tools.jst.web,3.3.0.v20111218-2058-H676-Beta1,"org.jboss.tools.jst.web",1389595856587
stopped,bundle,org.eclipse.jst.jsp.core,1.2.401.v201108302147,"org.eclipse.jst.jsp.core",1389595856587
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1389595856587
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.ui,1.1.0.v201105110000,"org.eclipse.jpt.jaxb.eclipselink.ui",1389595856587
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1389595856587
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.ui,2.0.1.v201108080010,"org.eclipse.jpt.jpa.eclipselink.ui",1389595856587
stopped,bundle,org.jboss.tools.hibernate.jpt.ui,3.4.0.v20111218-2108-H606-Beta1,"org.jboss.tools.hibernate.jpt.ui",1389595856587
